"id","title"
"1"," The Lord Of The Rings Trilogy"
"10"," American Gods"
"100"," The Space Trilogy"
"11"," The Princess Bride"
"12"," The Wheel Of Time Series"
"13"," Animal Farm"
"14"," Neuromancer"
"15"," Watchmen"
"16"," I, Robot"
"17"," Stranger In A Strange Land"
"18"," The Kingkiller Chronicles"
"19"," Slaughterhouse-Five"
"2"," The Hitchhiker's Guide To The Galaxy"
"20"," Frankenstein"
"21"," Do Androids Dream Of Electric Sheep?"
"22"," The Handmaid's Tale"
"23"," The Dark Tower Series"
"24"," 2001: A Space Odyssey"
"25"," The Stand"
"26"," Snow Crash"
"27"," The Martian Chronicles"
"28"," Cat's Cradle"
"29"," The Sandman Series"
"3"," Ender's Game"
"30"," A Clockwork Orange"
"31"," Starship Troopers"
"32"," Watership Down"
"33"," Dragonflight"
"34"," The Moon Is A Harsh Mistress"
"35"," A Canticle For Leibowitz"
"36"," The Time Machine"
"37"," 20,000 Leagues Under The Sea"
"38"," Flowers For Algernon"
"39"," The War Of The Worlds"
"4"," The Dune Chronicles"
"40"," The Chronicles Of Amber"
"41"," The Belgariad"
"42"," The Mists Of Avalon"
"43"," The Mistborn Series"
"44"," Ringworld"
"45"," The Left Hand Of Darkness"
"46"," The Silmarillion"
"47"," The Once And Future King"
"48"," Neverwhere"
"49"," Childhood's End"
"5"," A Song Of Ice And Fire Series"
"50"," Contact"
"51"," The Hyperion Cantos"
"52"," Stardust"
"53"," Cryptonomicon"
"54"," World War Z"
"55"," The Last Unicorn"
"56"," The Forever War"
"57"," Small Gods"
"58"," The Chronicles Of Thomas Covenant, The Unbeliever"
"59"," The Vorkosigan Saga"
"6","1984"
"60"," Going Postal"
"61"," The Mote In God's Eye"
"62"," The Sword Of Truth"
"63"," The Road"
"64"," Jonathan Strange & Mr Norrell"
"65"," I Am Legend"
"66"," The Riftwar Saga"
"67"," The Shannara Trilogy"
"68"," The Conan The Barbarian Series"
"69"," The Farseer Trilogy"
"7"," Fahrenheit 451"
"70"," The Time Traveler's Wife"
"71"," The Way Of Kings"
"72"," A Journey To The Center Of The Earth"
"73"," The Legend Of Drizzt Series"
"74"," Old Man's War"
"75"," The Diamond Age"
"76"," Rendezvous With Rama"
"77"," The Kushiel's Legacy Series"
"78"," The Dispossessed"
"79"," Something Wicked This Way Comes"
"8"," The Foundation Trilogy"
"80"," Wicked"
"81"," The Malazan Book Of The Fallen Series"
"82"," The Eyre Affair"
"83"," The Culture Series"
"84"," The Crystal Cave"
"85"," Anathem"
"86"," The Codex Alera Series"
"87"," The Book Of The New Sun"
"88"," The Thrawn Trilogy"
"89"," The Outlander Series"
"9"," Brave New World"
"90"," The Elric Saga"
"91"," The Illustrated Man"
"92"," Sunshine"
"93"," A Fire Upon The Deep"
"94"," The Caves Of Steel"
"95"," The Mars Trilogy"
"96"," Lucifer's Hammer"
"97"," Doomsday Book"
"98"," Perdido Street Station"
"99"," The Xanth Series"
